标题	详情
辣鸡王者荣耀手游App,卸载了	辣鸡王者荣耀手游App,卸载了
好玩	好游戏
对于举报审核不实	游戏内投诉言语辱骂，但对方是rmb玩家，官方审核包庇，不处理，垃圾游戏，马上卸载
乱扣信誉分	王者荣耀这个游戏最垃圾的是客服，玩一把游戏输是很正常的事，打一局排位不是顺风死得多辅助一个人头你竟然说我送人头，还被人举报， 玩把游戏不是顺风打得已经是尽力了还被举报，真得很不爽你们这些客服乱扣信誉分
希望新赛季研发优化能不闪退！！！！！！	希望新赛季研发优化能不闪退！！！！！！文件小点，别再闪退了
ZZ游戏	ZZ游戏游戏体验极差一星也不想给
没爱了	说实话，游戏是不错，但是也太恶心了，一想到冲那么多钱上去还tm老是有演员跟送人头的，不知道还能坚持玩多长时间
一如既往垃	越做越垃圾
。	早点倒闭吧，毁人心情！！
匹配的都是什么人 举报还举报不了 卸载了	太炕
垃圾游戏	这种匹配机制要流失多少玩家？一点充值体验感都没有 给你匹配到各种坑 要么挂机要么送人头
王者荣耀	"一款垃圾破游戏、说公平、被演到什么都不知道
举报又举报没用、我有保存视频"
垃圾游戏	玩了三年，这三年里，我玩的再好也不能上王者，每一局顺风顺水的都是对面，为什么好的队友就不能在我这边吗，总是让我匹配到像足了人机一样的队友，这游戏太垃圾了，愿天美早日倒闭
不充钱就给匹配垃圾队友	难怪要凉了………我充到v8…看到现在这种垃圾机制、一毛钱都不给了
垃圾游戏	越做越垃圾
闪退，排位都是坑	排位都是坑，手机还时不时闪退，等3分钟上去再次闪退，人家打完了你还在闪退没登上去坑的一B。还没有投诉电话没有投诉邮箱没有任何投诉渠道
还能不能玩了	别人举报我举报一个准，我举报别人怎么也举报不了   辣鸡游戏  亏老子充了3000块钱
 	 
 	给自己一点快乐，生活这么累了，一点小娱乐也不做吗？在意这在意哪，还有什么乐趣，把心放宽适当释放压力，玩玩蓝求足求电竞，没什么不好的呀??乐，还能获取些福利，现代人精神压力都大，别在揪结那些烦恼，让自己快乐才能让生活快乐，世上许多事??天，其玄妙之处，就在一个“放”字，只有成长，然后才能体会这个字的含义；熬得住就出众，熬不住就出局??堂，相信糟糕的日子熬过去了，剩下的就是好运气。所谓的成长，就是有一天我们可以把最重要的精力，放在最重要的人和最重要的事上。
下不下来	hhvruvfff
游戏体验极差！！	麻烦在优化上面下点功夫好吗？？之前每玩两盘大乱斗就会闪退，现在直接每局460，玩都玩不动还要被举报，这样还不如不更新新版本呢
 	
 	 
垃圾游戏匹配太坑人了	垃圾游戏匹配太坑人了
辣鸡 游戏必须好评	祸害年轻一代的人 这钱赚的 良心不会痛吗
	 
	
	
不能玩边境突围	凭什么苹果手机不能玩边境突围，真的是，还有为什么下载的空间不能小点嘛
 	
王者成长计划	趣步app  不用投资，一款走路就能赚钱的区块链接数字，让你有意向不到的收获！注册邀请码65539481   安卓手机应用商店下载
真他妈垃圾	最垃圾的游戏
王者荣耀	这游戏坑逼太多 玩的都没有感觉了  我建议大家不要再玩这游戏了
 	 
垃圾破游戏你qua	一天到晚更新还一天到晚匹配人机一起玩
绝不玩	永久删除王者荣耀，绝不玩，匹配排位太垃圾了，连跪二十几把。。。。。。。。。
3多	垃圾游戏毁我青春 演员多 坑B多 装B的多
坑爹的游戏	太坑了、祝大家早日弃坑远离腾讯游戏毒害
玩王者三年感想	太坑了，影响我的身心健康，明明自己很认真在打，就是会有一些坑song，远离王者珍爱生命！
辣鸡游戏	真的很讨厌，王者局都有辣鸡！
游戏卡顿，只能无线玩，乱扣分	lj游戏
闪退问题都解决不了，什么破玩意儿，还闪退扣分，坑皮	闪退问題，信誉扣分，这一功能能优化一下吗
坑越来越多，游戏体验越来越差	呵呵
没意思	顺风就460，这游戏没爱了，玩的没意思。
匹配系统太垃圾	匹配系统编得这么用，只要升段100%坑。举报系统也是一个渣。删游戏同时给你们一个建议，别把人当傻的。
王者荣耀真是一款垃圾的游戏	已经删除   从此以后不想再接触它了，真是一款坑爹的游戏
死妈东西	天美就是个死妈玩意，给老是匹配的什么队友心里没点数吗
游戏体验极差	玩别的游戏网络丝毫无影响，玩王者荣耀就不停460，画质最低有时候也带不动，辣鸡是真的辣鸡
垃圾	垃圾王者荣耀，你妹的，tm跪了好几把tm没赢过tm的垃圾游戏！浪费时间还耽误事有时候还赢不了真心不想玩这tm垃圾游戏
垃圾	垃圾游戏，小学生都他妈也能玩
连胜以后必定连败	气死人。。搞不懂。。。
一直输！	王者荣耀是有黑幕的，要么一直赢，要么一直输，要么赢一局输一局
垃圾游戏	垃圾游戏
好评	"因为我们是召唤师，所以我们在峡谷相遇
因为我们有这共同的目标，所以我们战斗
因为我们有这共同的偶像，所以我们向往
因为我的游戏人生有你，所以我感到幸运
天美很优秀，荣耀很好玩，我们，不放弃"
解除强制休息	能解除强制休息嘛
辣鸡	辣鸡游戏
垃圾游戏	垃圾游戏，挂机的你不扣分，我认真玩的你扣分！
苹果退款	通过APP  Store充的点券都可以退钱！
垃圾	"tm
能不能把你们的举报审核做做好，我打的好好的被扣信誉分，也没客服反馈，垃圾游戏"
匹配机制辣鸡	我一直都是单排，系统要么匹配到全部擅长法师要么全部擅长射手的，话说这游戏在线的玩家不少，真是搞不懂。还有偶尔连胜之后必然连败。晋级到下一个段位之后必然连败。连续几个赛季在星耀一二徘徊，这我就不能理解了。另外这个赛季再上不了王者就在也不玩了。这样想认真上段位的浪费大量的时间不说，游戏体验还极差。
一种适应匹配机制的玩法：	"这个游戏的匹配机制类似于，你的综合水平越高就要给你匹配综合水平较低的玩家。特别是在渡劫局，这样考验你能不能带动全场赢得比赛。我通常排位和朋友一起打，并不是说只要双排，你匹配的队友会比较强，而是你和朋友可以提前研究一些配合和套路，这样更容易carry分低的队友。
那如果你单人打，可以打打娱乐和匹配，随心就好，不必认真。你完全可以试试一些奇葩打法，找找乐子。总之就是不要跟游戏较真，感觉体验不错就玩，没兴趣就直接删掉，玩游戏最重要的是快乐。"
...辣鸡闪退游戏	苹果6玩就闪退，天美到底修不修复！
我用Wi-Fi玩进不了游戏	为啥啊我晕什么软件东西
幸誉积分	"我的手机配置很垃圾，玩王者的时候，进游戏就闪退??????，闪退后没什么还赢了，队友没有举报我，你们却还扣我分。每一盘都那么严，你们为什么要这么对我，我忍了好久了，有几次都气哭了??????，我现在没有办法再忍下去了。如果你们不回复我，我会一直骂你们这个游戏，还叫我的亲戚朋友来骂你们。吐槽你们！！！ 
快点还我幸誉积分，我是苹果服，区域是弧光静默，名字是é"
没用的游戏	狗游戏，哪个阵容充钱就给哪里赢，什么天美，皮都不是
说出真实想法和做法才对，举报演员，故意抢野乱节奏的人竟然不成功，失望了！	垃圾游戏
我	这给我点的感觉就是充钱游戏  充了钱乱打都能赢不充钱遇到的都是猪队友
退游吧	连着安排败方MVP，凭什么呢。我综合平分高，就必然安排那种菜逼，煞笔匹配。黄金一到星耀一，快70胜率，然后打星耀一到星耀二，一直输到50胜率，王者你为了维持我的50左右胜率很不容易呢。你这游戏平衡做的真好。每天举报成功邮件一堆，我可真感谢王者让我见识到了什么叫做腊鸡。外面世界这么好，真的，劝大家退游吧。
菜鸡太多还5v5公平	坑多不说游戏内存还打说是2.6G加上其他的都超过6个G了像内存小一点的怎么玩啊？
垃圾游戏	你们举报是按充值走的嘛？  举报就扣那么点分  垃圾游戏 策划去死吧
好游戏被一群猪玩毁了	游戏本身还是挺好的，并不抵触，也不去诋毁！但是好游戏被一群猪给玩坏了！没办法，只能放弃了！
支持王者荣耀	我吐出来??？
昨天仙阁的辰鬼举行了自己的生日party	现场的画面可以说是让人震惊，三支队伍的老成员全部聚齐参与了这个活动！除了让大家感叹辰鬼的好人缘外，这些熟悉的面孔也让我们陷入了回忆之中，时间仿佛回到几年前。这次参加的三支队伍成员分别是―老仙阁，老estar和sviper!首先是仙阁的成员：无痕、小羽和雨雨！这三个人都是老仙阁的成员，除了小羽之外，另外两人还是在kpl赛场上活跃。其实自从辰鬼转行做了解说之后，个人的发展其实是比赛场上要更好的，而且和之前队友的联系也是更深，毕竟作为解说都是会和队伍成员有所接触的。辰鬼可能也是因为不舍得离开他们，才选择这一行业吧!第二就是老estar，诺言、小渝和伪装！这三个人绝对是大家对于estar最初的印象，现在除了诺言还留在队伍里，其他两人都已经离开。最近的E星夺冠之后，很多人不仅祝福了猫神他们，很多人还提起了小渝和伪装他们这些老队员，毕竟他们也是之前大家所有的回忆，这次夺冠，相信他们内心也是很高兴的!第三个就是sviper这支队伍，虽然现在它没有在赛场上，但是他们之前同样一支强队，他们的队员是潇洒、阿灿和笑煮！这支队伍目前正在积极的准备返回赛场，在之前的比赛中也取得不错的成绩，很多人也都希望这支队伍能够重新回归。现在我们最常见到的就是潇洒，毕竟他现在转行做了解说，还是有很多露脸的机会。希望明年能够在赛场上看到这支曾经的老牌队伍!
太大	游戏太大了。没得玩。一个破游戏弄五个G，莫名奇妙的玩法，说白了就是想坑钱
王者荣耀闪退问题。IOS系统和安卓系统。	这游戏有多垃圾呀？ 有时候玩着玩着就闪退，都开局了玩了，没过多久 本来是顺风的，突然又闪退点击进去 正在加载游戏的时候又闪退  本来100的信誉积分，现在只剩70多了，排位也玩不了。还有我防沉迷也过了手机配置也好，是iPhone8的，内存和运行内存都足够。请给我一个合理的理由。
辣鸡匹配算法	什么玩意啊？？？
垃圾游戏	真的垃圾游戏
现在的演员都举报不了了吗？	现在的演员都举报不了了吗？挂机一会儿也是挂机，怎么就举报不了？说好的游戏体验呢？队友没意识还不让说了？聊天里说投降也被警告？
王者游戏机制真的差劲	王者荣耀游戏机制越来越差，我很多次玩匹配和排位，因为兵线没到误入塔中被防御塔杀了，系统就直接默认我为故意送人头，比赛结束直接扣我5分，这还是我拿mvp的情况下，如果没拿评分第一我估计直接能扣十分，已经不止10次这样了。别说我是喷子和黑这款游戏，我有截图可以证明。还有王者局单排的时候总遇见两个不和睦互骂的人，上来要吗就挂机互骂，要吗就乱选阵容，天美不是有在游戏中说脏话就扣分警告吗，为什么总是让这种人在一起，别说段位高没人只能排到他们，你们后台系统匹配机制都有问题还怎么让玩家有很好的游戏体验，除了卖皮肤卖英雄赚钱以外就不能再游戏机制上做些优化改善？游戏里说是可以申述召回那些误扣的信誉积分，骗谁呢？提交了一个月，也没有消息，客服也不管。现在腾讯游戏真是越来越差了，只为了赚钱。
关于新号	我们大家很多人都是上分打到高分然后开小号的，白银局总有高分炸鱼的人，这倒是没什么。可是我们开新号的时间太长了，把教学关妲己的话可以跳过，或者直接跳过教学关感觉这个游戏会更好建一点
排位每次都安排什么队友给我	0/10，0/9，怎么打？怎么样才能杜绝这种人的存在？打游戏是应该让人愉悦的事情，应该把水平差不多的人匹配到一起，总是把智障分给我做队友，怎么让人得到游戏的愉悦感？
心累	现在排位不是有挂机的就是来送人头的，游戏体验越来越差了，难道真的都是艺校出来的？
开语音队友听不到	开语音队友听不到，游戏体验极差
垃圾天美	打排位不是匹配挂机的就是匹配送人头的，关键是一局里从头被喷到尾，举报不成功，还禁赛
王者荣耀非常好	"王者荣耀这个游戏你可能不会充钱 也有可能冲了很多可是游戏的乐趣还是在的虽然有些时候遇的到坑逼队友可是我觉得这就是乐趣吧有时候等你无聊了你会打开王者荣耀开始一盘游戏遇到坑逼队友你仔细想起来还是非常有趣的你想起来他们的细节，你觉得非常搞笑可能有时候会被坑到哭但是你还是会打王者荣耀这个游戏你可能上的钻石或者星耀就会非常开心可是我们争取要当成王者段位

一个王者段位冲了￥3500得一个玩家对大家想说的话"
五星好评	太好玩了！！！！！！！！！！！！！！！！！！！！！！！！！！
辣鸡游戏	这个游戏就是通过新英雄强势来卖皮肤，然后削弱，打的再好也会匹配几个不会玩的，平衡性做的太差
呸	破游戏垃圾游戏去你妈
cnm贴膜游戏	狗lan子游戏 去跟你m说再见吧
垃圾游戏	一把游戏全身你妈坑比，大乔一局不开大，服了，打个排位打成这样，也只有王者，不是说的话，5星全全是给钱啊，内部人员写的，哈哈哈，6批，真心，这游戏你就必须充钱，不充钱的都是只有输，这游戏真的垃圾，不知道为什么会火，
太好玩了，太好玩了。	我跟你说我打着打着打着玩安琪拉太直接了吗？直接打红。
垃圾游戏	搞不懂为什么要搞铭文  还有皮肤加属性 真恶习 不是强迫别人充钱？
这游戏天美好贱进不去卡死了	好贱
越来越不给力	这游戏玩这么久以来，我还是发现第一次被卡退出来，也不懂怎么回事，进去也进不去了，太垃圾了，越来越垃圾了，没有以前那样有体验了。莫名其妙卡我出来，输赢这个系统还可以改动，我也是醉了，不想让我玩也别这样卡我出来吧？？艹垃圾
被排位机制恶心的实力玩家	本人单排67星荣耀王者，真的看了很多帖子，总结出这游戏就是一款休闲游戏却打着竞技的口号。为什么这么说，第一英雄平衡性极差，庄周，大小乔，嬴政，这些英雄都是用脚玩就行，却非常厉害。第二，匹配机制，我们都知道这游戏最坑的就是女大学生，系统为了照顾他们特意将匹配机制改成，厉害的选手就会排到菜的队友。第三，特别针对头铁玩家，你玩的越多，就会输的越多。本人几天不玩再上线队友全无敌，但是一旦连续玩三天保证遇到你难以理解的怪物。为什么他们可以排到我？已经卸载了，立个flag再碰是畜生
哈喽，大家好！	在六月二十号举行的全球电竞领袖峰会上，王者荣耀的相关发言人就宣布很多劲爆的消息。其中就有我们新皮肤相关的爆料，同时这也是王者荣耀第一款众筹皮肤！目前从已知的爆料中，这款皮肤为虞姬的雀之灵。虽然只是一个皮肤的阴影，但是看的出来相关的一切准备都已经做好了（充值活动、头像框等等），相信在冠军杯开赛前夕就能和小伙伴们见面了。这款皮肤目前属于世界冠军杯KCC专属皮肤，这也是和KCC相关的第三款皮肤。两款冠军杯FMVP皮肤，其中冠军飞将已经登场，另一款还在制作中。小编在这里也不禁想要说些题外话，fly的冠军飞将等了半年才等到，久诚的FMVP现在还只是一个轮廓而且还是网友涂鸦版本的，不知道还要等多久。选手的皮肤拖工期，赚钱炒热度的皮肤倒是马上出都不带眨眼的。当然最后还是要补上真香两字。同时雀之灵也将作为第一款众筹皮肤登场，售卖皮肤获得金额都会注入到世界冠军杯奖金池中。目前在这次赛事公布的时候，官方就透露这次的世冠杯奖金池将用1600千万的数额。小编本来以为这将是王者荣耀奖金最高的一次比赛，结果却没有想到王者荣耀在这次的峰会上却爆出如此惊人的猛料来。那么一共有多少次皮肤售卖的金额会注入奖金池呢？上限同样是1600万RMB，加上原本的冠军杯奖金池就是3200万RMB。如此数额巨大的奖金池真的是让小编大开眼界，相信参赛的队伍不仅仅是为了荣誉，就是为了这次比赛的奖金就要努力拼一把！这么多奖金不能白来，对吧？犹豫就会败北，果断就会白给。少年们可要好好的抓住机会啊，小编还是很偏心的，买皮肤花的钱就让天朝战队给我们拿回来吧！
辣急游戏，	系统都派定送人头了，举报还没用，干你妈
匹配系统真的差劲。。	真的卸载了，这游戏的匹配机制就是要你上瘾的那种，我原本脾气很好的，但是这个游戏让我的脾气越来越坏，很容易动怒，因为里面就是有人会故意气你，把他的坏情绪发泄在别人身上，他自己死了要怪别人的这种，好希望国家能再整改下游戏行业，游戏太让人荒废精神了，而且这种游戏故意让你打不赢，赢一会儿输一会儿，让你上瘾，让你有种赌徒心理，希望大家别玩了，别上瘾了，想想你的休息时间，你原本可以好好休息的，结果这游戏让你越来越累。特别是对单排的人特别不友好。。。总之小孩真的要少玩游戏特别是王者和吃鸡这样的，成年人都会上瘾，何况自制力更差的小孩。
l	游戏还好就是内存！！
辣鸡	什么垃圾游戏 不要下载
垃圾王者。	真不知道是我的账号有毒还是怎么样，赛季末连跪，队友不是挂机就是选了输出结果一场下来1-5，1-6，1-7，一举报就全部扣分，钱我也冲了，系统能检测出来就是不给我匹配个认真点的？活生生单排从星耀掉到钻石，卸游了，拜拜了您嘞！
王者荣耀打开没有声音	在苹果手机上打开王者荣耀后没有声音，只有插上耳机才能听到声音。不知道是怎么回事？
垃圾游戏	垃圾游戏，垃圾匹配机制，垃圾团队，老玩家卸载
审核的干什么吃的	一句游戏，打字骂人被罚，那些被骂的是演员就不罚，开语音骂人的一堆，举报也没什么用，告诉我，我给你们发工资有何用，你们在这么下去，迟早人要走光
吐槽	"能不能给苹果用户更好的体验
动不动就闪退
真的能不能解决一下这个问题？？？"
垃圾匹配机制	打个排位三把有两把都是智障队友神仙对手，到底会不会做匹配机制？
??????	能不能好好看看举报内容？我连匹配都没匹配就告诉我禁赛？昨天被禁告诉我今天解禁，现在又给我来个明天解禁？我今天一整天都没匹配过就又给我禁？
就是一个娱乐的游戏而已	我从亚瑟狮心王的赛季开始玩，到凯尔特女王的时候根本没上过黄金，现在钻石了，虽然有时候玩游戏会闪退，或者玩着玩着自动退出了，因此会有人举报，但是我觉得开心就好，就是一个游戏而已，没有必要心态爆炸，遇到坑队友很正常，你能保证把把都赢吗？说自己心态爆炸，明明是自己把游戏的输赢看的很重要，这只是一个游戏，输赢是一定会有的。王者荣耀虽然是仿的，但是也是腾讯的心血，这个游戏已经有好几年了，都是那些设计师的作品，换做我们，我们不一定能做到。玩游戏要有一个平和的心态，输赢不重要，一个游戏又不是命。
辣鸡游戏	一群sb队友，只会喷
对 说的一点都没错	说的一点都没错 就是这样的
打不开	下载不下来为什么！打不开
垃圾游戏	垃圾游戏，用户体验极差
乱扣分	扣分扣的莫名其妙，申诉也半天找不到图标不知道是不是改版的原因，都去吃鸡吧
难受	辣鸡游戏，毁我青春，煞笔队友，挂机死??
请把瞎这个字论为骂人的话，	本来玩儿游戏都是为了开心的一件事，现在的人太浮躁？还是王者荣耀没有做到更好？为什么自己人物死了去怪别人？瞎这个字不是在骂人么？我是一个安琪拉玩家，本身就比较脆弱，为什么在开场我就要去救一个去送死或者被团灭的人？难道我去了不是送死？不去就是瞎？本来打游戏是一件会让人开心的事情，为什么现在是骂架的状态？如果这样举报都不成功，还要举报的功能做什么？人不犯我我不犯人，狗若咬我我不能反咬，我有我的素质，请你们公平对待！
闪退	会闪退呀
垃圾游戏	垃圾游戏换我青春
千万别充钱！！	一起开个玩笑说不充钱腾讯就不给你赢 我也没当真 最近出了几个皮肤我想买 就充了点钱 现在不充钱还真的不给我赢了 我从前天到现在一直没赢过 能给我解释吗？？？
坑我内存	靠
垃圾闪退，敌人隐身	动不动就闪退，地方英雄动不动就没有模型了，还打个??毛啊？
游戏体验极差	请问到底是要弄多大的内存 ？我苹果七一进游戏就闪退一进游戏就闪退   就你这破游戏弄这么大内存要干卵用？   还想走向国际  怎么不走你吗比里去啊
王者荣耀有限时	我玩完了七八局就玩不了了
垃圾	更新以后xsmax发热严重！TM的能煎鸡蛋了
弱智的游戏匹配机制	腾讯天美工作室就只会圈钱？我从S2赛季一直玩到现在S15赛季，每个赛季都是王者，我已经真心对这个游戏失望了，号里有一百四十多个皮肤，5级铭文都满了，金币7～8W，钻石还有7000+，不知道是我充钱太少，还是充的太多了？王者局排位遇到全场挂机的玩家都能举报失败？还回邮件需要核实？作为S2开始的RMB老玩家心真的是凉透了，可能是因为王者游戏热度降下来的原因，现在上王者变得越来越简单，什么妖魔鬼怪都能打上王者了，整个游戏的玩家平均水平都被拉低，很多朋友都弃坑了，我也绝望了，转国际服吃鸡去了（之前刺激战场改版，已弃坑），希望接下来的王者老玩家们还能继续坚持下去，再见了，王者荣耀???♂?
坑多	第n次下回王者
一堆垃圾	垃圾游戏 垃圾腾讯 垃圾天美
匹配	這個游戲是挺好玩的，但我是一個鉑金玩家却匹配到一些最強王者的人，让我連輸很多次，希望你們可以讓我們匹配到同段位的人，謝謝
江津游戏	这就是一个先进游戏，没有钱完不成。
队友太坑体验很差	队友太坑体验很差
垃圾	充值118点卷不停加载，然后扣我648点卷，这是想钱想疯了？
腊鸡，公平你辣鸡	如题
垃圾游戏浪费青春	什么沙雕烂游戏、给劳资匹配的是些什么沙雕，再也不会充钱了，充钱都上不了段是吧，呵呵
垃圾游戏！	垃圾游戏，垃圾匹配制度，垃圾系统，乱扣玩家信誉积分。
垃圾游戏	这个游戏真的是坑 不充钱根本不让你赢 王者6星一直输 中间根本没赢过 一直输到星耀二3星 这个游戏真的是无解。 我只想说一句 我日你全家 策划你全家死绝
关于信誉积分扣除	我是22号晚上十一点多十二点样子有一场游戏挂机了，这个扣分我可以理解，但是我查信誉积分的时候发现扣了两次，而且时间都完全不对，一场显示的是23号十点五十九分，扣除我7分；还有一场是23号00:11扣除我7分，真的无语，今天才23号啊；一场游戏挂机而已，之前我信誉积分是满分，现在连排位都打不了了，人工客服也没得，现在已经打算卸载游戏了。还有要吐槽一下，每次匹配的都是玩法师射手的人多，匹配阵容一点都不合理。游戏都没法玩，重开多了还被禁赛。真的是越来越坑了，举报机制也不行，从来不参团没输出的人最后评分二点几，三点几的举报都举报不了，真的很失望，拜拜了弃游??
垃圾游戏	不是没充钱吗
各位辣鸡	我只能说不会玩就别玩
一星都不想给，游戏体验极差，真实玩家	从2017年开始玩的，当时身边还有很多朋友玩的，现在几乎没人玩了，这游戏单排真的不能玩，各种坑，你会发现排位最后一颗星时就会出现掉星，反反复复很多次，甚至要连续几天才能上去，现在那些游戏主播各种收费各种接单不断的扰乱，其实刚开始玩这游戏开始心态还是挺好的，还有这游戏设计感觉就是如果你是新手，你开始玩就觉得很好玩很容易赢，心情也特别好，玩的很舒服，段位也很容易上，但是越玩就会发现自己都被这环境污染了，各种心态都出来了，所以这游戏不会带来什么快乐，反而会增加自己的脾气，严重的话影响你的生活，都说“玩家玩游戏，其实是游戏玩玩家”，玩游戏都会被一些皮肤或装备吸引，就会花钱进去买，其实这根本就是没意义的浪费，我也花了一点钱进去都到V7，游戏这么久感觉不到买了这些东西能给我在游戏体验中带来很好的收获，段位也停留不前，比如你一直在玩一个模式匹配，开始时的几局你会赢的很轻松，但到你玩连续玩了很多次后，你就会觉得赢的概率就很低了，就算赢了也是很辛苦的那种，奉劝大家这游戏可以玩一下，但一定不要充钱，简直是浪费，别被里面的东西吸引，因为他们不能在游戏中给你们带来什么好的体验，这游戏接单的玩家太多，他们都是赚钱的，这游戏坑也挺多，网络也是有问题的，有时你在厮杀团战时就会出现卡网络现象，玩这游戏也浪费时间，一局下来要20分左右，除非给你安排一个比较草的对手，那就能快点结束，大家不要在花钱就去了，真的不值得你们这样做，游戏体验这么差的，以前我都是单排上段位的，现在的单排就是让你去送星星的，想上分就算了，退游吧，兄弟姐妹
坑	差！
好玩得很	就是排位想出一些射手的皮肤除了虞姬哪一个皮肤就没了
Ipad Air 玩不了边境突围	自从边境突围模式出来就一直玩不了，让等等，我都等多久了，程序员可不可以考虑一下我们这些非新机器的人。
垃圾王者	农药
垃圾游戏	什么垃圾游戏什么猪队友玩不起你，一星都不想给
辣鸡	"辣鸡游戏，匹配的一个比个强
我们一个个是个够
玩个球
妈比腾讯
辣鸡天美"
垃圾游戏	垃圾游戏，和英雄联盟比差太多，最多一幸
垃圾游戏	举报系统一点也不公平，0_5举报不成功，人家举报我，一举报一个准，是我钱冲少了，再见，以后六块都不给你，
垃圾游戏	垃圾游戏信誉举报机制
配對系統神爛勝率一高就一直排低能兒	我玩幾個星期70%勝率上星耀連續幾天都拍30%到40%勝率的隊友給我50%左右的對手。你30%是怎麼上星耀的！看戰績全0殺個位數助攻。你全給我拍個60-70的隊友跟對手還正常點。星耀都這樣子了。上面王者也懶得打了。已刪
王者荣耀不公平对待“苹果手机”	苹果手机玩王者荣耀老闪退而且还不能玩吃鸡模式
嗯	不知道是不是手机原因，进游戏的时候很慢，有的时候还会闪退
贼差	做的是越来越差，以前还可以玩玩，现在真的是玩都不能玩.申诉上去也是一点反应都没有，真不知道你们人工客服有什么用，一个个好端端的游戏就被你们被整垮了
韩信_	青铜到王者
垃圾游戏	垃圾匹配机制，打了一下午遇到的队友不是挂机就是送人头的，各种甩锅，各种喷人，一直在输
辣鸡游戏	辣鸡游戏  盗版联盟的 天美就是个贼
美中不足的是缺少高颜值法坦	"梦奇和嫦娥定义法坦，只可惜这两位都是“护盾英雄”，基础血量太低，不是玩家心目中真正靠得住的坦克啊。这两个英雄虽然强度适中，但弱点太明显，怕真伤，不能随心所欲地拿。我的建议是，对上述英雄向削护盾、增血量的方向进行调整。
梦奇平调方案（千万别增移速啊！增移速之后，估计这个英雄会长驻ban位，且还是会被真伤克制。无需增强！）：
1.一技能护盾削至0(+0/Lv)(+5%最大生命值加成)(+80%Ap)；
2.满级最大生命值从6300+增至7800+。
可以考虑：1.每5秒回血改为1级80+满级180+；
2.若物理梦奇强势，则考虑削被动物攻加成；
3.梦奇三个技能过于无趣（三技能还有照抄苏烈的嫌疑！），建议重做二技能和三技能。

嫦娥平调方案：
1.被动描述修改：“蓝量护盾”改为“蓝量免伤”，嫦娥法力值依旧可以抵免伤害，但其本质己经改变，不是护盾了，换句话说，选嫦娥再也不用ban伽罗了；
2.蓝量抵免60%伤害改为抵免30%伤害，同时将嫦娥的最大生命值增至战士的水平（这个游戏女英雄的血量普遍太低了。其实英雄形象和英雄属性没有必然的联系，如果因为嫦娥身材娇小而把她的生命值设得那么低，这不合适！）。"
值得去玩	说实话，我个人认为王者的画风不比网易差，只是这个氪金问题.....呃……总之就是好玩！
我已经要卸载王者了	新版的王者，动不动举报就扣分，一点都不人性化
苹果7以下闪退问题	苹果7以下的产品闪退特别严重，使用加速器都无法避免，一局闪3，4次，怎么体验，而且断线重连太慢，进去游戏就结束了，结束就算了，还不能出来，必须重登，我就纳闷了，优化一下行吗，苹果7以下的用户都不要了是吗
王者赶快卸载	王者他的程序员都是sx，老总就是狗辅助评分倒一队友瞎带团tmb我被举报成功了sx游戏还不如打lol
游戏体验极其差	受气必备软件之一，里面的选手，和系统匹配的选手都不行，你们系统应该筛选一下
怀念	现已经不单单是一款游戏了
别的不说，这个实在忍不了	好友都下线了，还显示在游戏中，并且开局4、50分钟，甚至99分钟。有时候跟朋友一起玩，好友在线却不显示，还得微信发链接邀请。有时候对方一局都结束了我这却显示还在游戏中，错过了一起玩的机会。有一次朋友邀请我，我点接受却显示没有这个人。请及时优化，谢谢！
垃圾天美	垃圾游戏、不用华丽的语言去批评、玩过都晓得、
猪队友	都是一群什么样的猪队友，猪队友太多辣鸡游戏毁我青春
没有意识的游戏段位高低不分限制及处罚措施游戏	真心吐糟这个游戏玩了好几年了基本每个赛季都王者时间久了发现这个游戏真的各种鱼龙混杂的人都有辱骂恶意挂机很多 对游戏系统的设置感觉特别差没有一点游戏体验恶意挂机竟然只扣六分有时候心态好一场游戏你们官方知道多用心吗？往往都是那些害群之马影响了游戏平衡性。手游就是手游当然跟lolcs端位比不了 。希望你们能重视高端局的游戏体验平衡型和对恶意挂机玩家严重的处罚及封号行为 总体也不会在玩这个游戏了 已经玩的很透彻了  再见王者荣耀……
因为游戏匹配机制退游	S15赛季初用了四天打到王者9星，因为工作原因没时间玩，系统自己掉星到王者0星，还有一星期赛季结束，本想往上打打，可是就这一星期我掉到星耀4，胜率直接掉到50.1。遇见的队友各种抢位置各种喷。本人得9赛季印记，V8！2019年6月24日2:55分，跟王者荣耀说拜拜。
个比手机比端游还大，真尼马是盗版英雄联盟	一个比手机游戏做的比端游还大完完全全的盗版，省了多少人力物力，就这样的垃圾游戏还它马玩的人成堆，这些人可真是一点品位么得！
闪退	为什么会闪退，都想卸载了
呵呵游戏	这游戏我就呵呵了，让你赢几把高兴高兴，之后让你输的毛都不剩，各种奇葩队友，我家队友一局下来居然能一个人都杀不死我也醉了，你这游戏什么匹配机制啊，还5V5公平手游，我就呵呵了
垃圾游戏。	垃圾游戏。天美。我祝天美客服及全部人。全家死光。出门让车撞死。
全人机	排位匹配了四个人机 啥游戏这是？
